transaction_id,member_id,merchant_id,spend_amount,timestamp
T00160,M0197,MER013,68.65,2023-03-20
T00161,M0373,MER004,4.93,2023-12-09
T00162,M0221,MER014,35.93,2023-12-10
T00163,M0423,MER014,41.53,2023-06-22
T00164,M0060,MER013,34.08,2023-03-10
T00165,M0098,MER006,65.81,2023-03-28
T00166,M0171,MER017,24.21,2023-04-11
T00167,M0382,MER004,144.99,2023-01-08
T00168,M0173,MER008,32.87,2023-11-29
T00169,M0151,MER017,42.34,2023-07-19
T00170,M0453,MER003,87.3,2023-03-28
T00171,M0350,MER017,16.1,2023-02-12
T00172,M0390,MER009,3.91,2023-04-19
T00173,M0440,MER002,61.51,2023-06-01
T00174,M0122,MER013,32.99,2023-01-17
T00175,M0494,MER020,113.41,2023-05-13
T00176,M0108,MER002,202.79,2023-05-28
T00177,M0004,MER020,25.47,2023-10-04
T00178,M0093,MER011,26.84,2023-08-20
T00179,M0407,MER015,26.21,2023-11-10
T00180,M0006,MER011,19.62,2023-08-16
T00181,M0288,MER003,76.09,2023-05-19
T00182,M0106,MER003,71.15,2023-07-30
T00183,M0146,MER012,32.57,2023-01-28
T00184,M0271,MER005,2.28,2023-02-20
T00185,M0424,MER020,18.52,2023-09-18
T00186,M0378,MER007,17.29,2023-09-18
T00187,M0096,MER007,83.32,2023-12-16
T00188,M0457,MER013,4.58,2023-12-18
T00189,M0229,MER009,81.91,2023-01-08
T00190,M0202,MER013,55.31,2023-11-16
T00191,M0212,MER012,65.92,2023-05-18
T00192,M0006,MER013,28.3,2023-02-07
T00193,M0112,MER010,56.93,2023-04-21
T00194,M0376,MER001,46.96,2023-08-08
T00195,M0379,MER008,73.26,2023-12-03
T00196,M0447,MER016,29.6,2023-08-11
T00197,M0323,MER013,32.01,2023-05-16
T00198,M0106,MER003,51.58,2023-09-13
T00199,M0139,MER003,5.72,2023-12-26
T00200,M0299,MER005,28.66,2023-11-25
T00201,M0401,MER011,178.69,2023-02-18
T00202,M0096,MER007,1.91,2023-10-19
T00203,M0388,MER010,18.99,2023-11-20
T00204,M0447,MER010,18.85,2023-03-19
T00205,M0452,MER020,50.18,2023-04-15
T00206,M0337,MER002,5.59,2023-06-18
T00207,M0297,MER003,49.52,2023-08-05
T00208,M0467,MER008,4.99,2023-04-29
T00209,M0389,MER011,4.99,2023-07-09
T00210,M0416,MER013,65.13,2023-09-12
T00211,M0214,MER007,19.59,2023-09-23
T00212,M0454,MER013,189.54,2023-05-29
T00213,M0291,MER002,1.9,2023-06-13
T00214,M0022,MER006,29.45,2023-05-20
T00215,M0193,MER009,6.0,2023-12-13
T00216,M0468,MER020,21.65,2023-09-15
T00217,M0150,MER002,316.63,2023-09-26
T00218,M0368,MER018,109.84,2023-06-30
T00219,M0247,MER016,2.48,2023-06-09
T00220,M0267,MER012,41.42,2023-12-17
T00221,M0461,MER007,52.18,2023-10-15
T00222,M0251,MER007,11.76,2023-10-15
T00223,M0490,MER017,7.84,2023-08-14
T00224,M0003,MER013,117.37,2023-01-11
T00225,M0393,MER011,173.39,2023-01-10
T00226,M0316,MER006,240.75,2023-09-28
T00227,M0076,MER014,77.98,2023-09-30
T00228,M0087,MER006,54.46,2023-07-02
T00229,M0270,MER006,21.21,2023-06-02
T00230,M0225,MER002,9.4,2023-11-11
T00231,M0018,MER020,4.11,2023-11-30
T00232,M0113,MER015,59.09,2023-05-04
T00233,M0251,MER017,76.79,2023-04-24
T00234,M0233,MER008,87.57,2023-10-05
T00235,M0329,MER005,122.53,2023-08-01
T00236,M0279,MER017,105.98,2023-06-21
T00237,M0202,MER020,412.99,2023-10-15
T00238,M0083,MER001,13.99,2023-06-23
T00239,M0125,MER018,72.05,2023-04-23
T00240,M0175,MER015,44.15,2023-05-02
T00241,M0069,MER005,15.14,2023-02-01
T00242,M0047,MER007,200.61,2023-08-10
T00243,M0372,MER018,114.09,2023-04-29
T00244,M0256,MER006,6.88,2023-02-08
T00245,M0215,MER005,1.33,2023-09-25
T00246,M0030,MER019,58.29,2023-08-21
T00247,M0281,MER010,46.33,2023-01-18
T00248,M0412,MER015,137.3,2023-05-29
T00249,M0482,MER010,13.33,2023-05-29
T00250,M0237,MER016,4.41,2023-05-06
T00251,M0248,MER012,15.0,2023-10-29
T00252,M0368,MER018,0.96,2023-12-26
T00253,M0495,MER001,1.83,2023-08-26
T00254,M0025,MER016,123.17,2023-05-15
T00255,M0074,MER006,21.69,2023-05-31
T00256,M0206,MER003,26.45,2023-08-24
T00257,M0490,MER002,0.93,2023-08-12
T00258,M0494,MER002,15.77,2023-07-22
T00259,M0314,MER013,81.67,2023-09-13
T00260,M0094,MER009,47.79,2023-03-27
T00261,M0375,MER016,70.08,2023-05-30
T00262,M0127,MER005,29.64,2023-08-23
T00263,M0425,MER007,18.53,2023-12-11
T00264,M0025,MER013,32.97,2023-01-22
T00265,M0334,MER020,19.51,2023-12-14
T00266,M0355,MER013,91.31,2023-10-12
T00267,M0116,MER007,17.67,2023-09-26
T00268,M0048,MER010,53.91,2023-09-15
T00269,M0226,MER015,7.37,2023-01-29
T00270,M0266,MER006,58.06,2023-08-01
T00271,M0099,MER005,122.26,2023-10-10
T00272,M0459,MER002,46.9,2023-02-19
T00273,M0011,MER015,41.03,2023-04-05
T00274,M0085,MER016,162.36,2023-03-29
T00275,M0405,MER019,49.36,2023-02-13
T00276,M0214,MER009,15.02,2023-10-05
T00277,M0173,MER019,17.29,2023-06-20
T00278,M0391,MER007,61.09,2023-07-08
T00279,M0209,MER004,66.48,2023-12-19
T00280,M0448,MER003,18.08,2023-07-03
T00281,M0382,MER020,21.18,2023-01-03
T00282,M0064,MER011,235.84,2023-07-10
T00283,M0258,MER001,5.38,2023-04-28
T00284,M0332,MER006,25.93,2023-01-19
T00285,M0121,MER011,3.22,2023-01-23
T00286,M0298,MER001,86.04,2023-01-30
T00287,M0466,MER007,4.84,2023-10-22
T00288,M0054,MER006,56.04,2023-04-18
T00289,M0331,MER014,2.91,2023-10-08
T00290,M0272,MER002,55.87,2023-05-08
T00291,M0241,MER004,92.59,2023-08-17
T00292,M0243,MER011,25.44,2023-04-21
T00293,M0018,MER015,36.92,2023-05-16
T00294,M0483,MER018,25.67,2023-12-28
T00295,M0187,MER001,17.87,2023-07-05
T00296,M0346,MER003,81.29,2023-05-24
T00297,M0144,MER003,15.87,2023-03-13
T00298,M0262,MER007,64.18,2023-05-09
T00299,M0441,MER001,11.55,2023-12-30
T00300,M0364,MER011,14.37,2023-09-18
T00301,M0491,MER006,20.51,2023-01-03
T00302,M0431,MER020,44.48,2023-04-14
T00303,M0239,MER003,30.3,2023-08-12
T00304,M0304,MER019,68.35,2023-11-16
T00305,M0298,MER002,12.01,2023-12-28
T00306,M0076,MER018,0.54,2023-12-20
T00307,M0188,MER012,74.93,2023-01-10
T00308,M0333,MER010,86.2,2023-10-29
T00309,M0388,MER005,3.07,2023-08-19
T00310,M0487,MER009,47.2,2023-08-07
T00311,M0246,MER002,23.76,2023-03-07
T00312,M0130,MER002,78.97,2023-04-22
T00313,M0474,MER006,103.74,2023-01-13
T00314,M0315,MER010,95.19,2023-03-27
T00315,M0411,MER018,75.07,2023-08-22
T00316,M0283,MER012,15.67,2023-03-31
T00317,M0079,MER004,83.54,2023-11-10
T00318,M0072,MER017,38.12,2023-02-23
T00319,M0263,MER015,2.71,2023-01-12
T00320,M0191,MER006,30.53,2023-07-28
T00321,M0367,MER016,142.5,2023-01-14
T00322,M0375,MER017,109.4,2023-05-01
T00323,M0430,MER003,5.39,2023-01-20
T00324,M0063,MER010,68.15,2023-03-16
T00325,M0488,MER005,81.94,2023-08-31
T00326,M0380,MER014,15.83,2023-08-11
T00327,M0012,MER013,31.9,2023-03-11
T00328,M0141,MER006,62.06,2023-11-08
T00329,M0254,MER012,28.91,2023-07-30
T00330,M0043,MER008,5.98,2023-04-11
T00331,M0017,MER005,61.19,2023-07-05
T00332,M0063,MER015,121.32,2023-05-12
T00333,M0253,MER016,52.85,2023-04-21
T00334,M0465,MER001,74.32,2023-05-12
T00335,M0376,MER016,22.19,2023-01-20
T00336,M0292,MER005,10.12,2023-01-24
T00337,M0469,MER003,51.47,2023-08-15
T00338,M0008,MER020,19.86,2023-06-03
T00339,M0325,MER015,98.33,2023-10-20
T00340,M0090,MER013,6.54,2023-08-18
T00341,M0208,MER016,28.41,2023-11-06
T00342,M0292,MER011,25.27,2023-12-25
T00343,M0284,MER002,139.07,2023-07-21
T00344,M0118,MER006,8.31,2023-02-07
T00345,M0349,MER006,0.49,2023-09-17
T00346,M0175,MER014,13.6,2023-07-07
T00347,M0076,MER011,85.82,2023-02-26
T00348,M0101,MER008,11.74,2023-01-20
T00349,M0414,MER008,13.78,2023-09-30
T00350,M0151,MER001,6.96,2023-04-29
T00351,M0400,MER007,62.84,2023-03-12
T00352,M0270,MER006,3.58,2023-01-04
T00353,M0458,MER008,20.11,2023-08-09
T00354,M0071,MER019,16.6,2023-01-14
T00355,M0493,MER020,40.5,2023-01-03
T00356,M0180,MER008,65.54,2023-08-04
T00357,M0124,MER014,38.06,2023-08-17
T00358,M0381,MER018,133.7,2023-12-02
T00359,M0293,MER016,151.25,2023-07-05
T00360,M0285,MER009,22.43,2023-02-24
T00361,M0195,MER015,75.18,2023-09-11
T00362,M0399,MER010,67.12,2023-01-24
T00363,M0228,MER016,111.73,2023-06-11
T00364,M0431,MER004,29.71,2023-06-07
T00365,M0430,MER020,37.8,2023-03-23
T00366,M0436,MER013,26.87,2023-06-08
T00367,M0275,MER005,94.98,2023-07-07
T00368,M0461,MER007,13.05,2023-03-01
T00369,M0106,MER009,13.7,2023-11-01
T00370,M0021,MER008,23.31,2023-11-15
T00371,M0064,MER016,13.09,2023-07-30
T00372,M0165,MER006,41.16,2023-06-01
T00373,M0027,MER016,7.22,2023-04-19
T00374,M0311,MER006,19.3,2023-03-17
T00375,M0500,MER014,122.35,2023-01-30
T00376,M0285,MER001,26.32,2023-11-10
T00377,M0148,MER009,68.96,2023-04-27
T00378,M0281,MER013,6.02,2023-12-22
T00379,M0326,MER019,14.22,2023-07-11
T00380,M0319,MER017,82.34,2023-01-19
T00381,M0164,MER011,71.98,2023-06-22
T00382,M0386,MER008,24.4,2023-08-16
T00383,M0406,MER005,154.39,2023-12-16
T00384,M0224,MER010,120.76,2023-07-02
T00385,M0272,MER007,163.91,2023-04-23
T00386,M0146,MER010,27.92,2023-07-02
T00387,M0453,MER004,11.0,2023-05-26
T00388,M0438,MER009,49.26,2023-11-15
T00389,M0356,MER014,57.72,2023-04-26
T00390,M0030,MER002,6.7,2023-04-23
T00391,M0045,MER009,77.2,2023-09-08
T00392,M0275,MER001,0.91,2023-09-08
T00393,M0471,MER010,32.96,2023-10-30
T00394,M0034,MER010,20.1,2023-11-09
T00395,M0141,MER020,67.41,2023-04-28
T00396,M0427,MER003,18.75,2023-10-28
T00397,M0318,MER006,87.67,2023-06-10
T00398,M0374,MER006,45.19,2023-07-17
T00399,M0221,MER002,78.97,2023-09-17
T00400,M0356,MER018,227.07,2023-05-28
T00401,M0022,MER002,56.84,2023-08-28
T00402,M0180,MER012,209.82,2023-02-16
T00403,M0436,MER005,1.46,2023-07-17
T00404,M0367,MER020,20.64,2023-02-16
T00405,M0420,MER007,5.71,2023-03-19
T00406,M0329,MER016,15.21,2023-05-04
T00407,M0231,MER020,91.28,2023-03-16
T00408,M0499,MER001,1.64,2023-12-25
T00409,M0403,MER001,36.72,2023-05-17
T00410,M0038,MER017,41.87,2023-03-31
T00411,M0070,MER001,41.18,2023-11-21
T00412,M0116,MER020,32.25,2023-03-02
T00413,M0239,MER013,78.18,2023-05-18
T00414,M0335,MER009,7.17,2023-02-19
T00415,M0441,MER015,18.6,2023-09-16
T00416,M0148,MER003,47.82,2023-04-17
T00417,M0009,MER014,58.71,2023-04-23
T00418,M0288,MER011,25.89,2023-12-16
T00419,M0388,MER012,104.12,2023-09-11
T00420,M0050,MER013,26.85,2023-04-28
T00421,M0338,MER013,25.77,2023-07-17
T00422,M0005,MER001,1.84,2023-12-03
T00423,M0404,MER010,40.05,2023-12-31
T00424,M0343,MER003,61.67,2023-02-20
T00425,M0126,MER004,6.08,2023-09-02
T00426,M0075,MER016,18.22,2023-02-04
T00427,M0165,MER008,75.99,2023-10-29
T00428,M0278,MER016,22.78,2023-03-10
T00429,M0442,MER017,13.83,2023-12-15
T00430,M0324,MER019,55.77,2023-11-16
T00431,M0477,MER015,10.96,2023-02-18
T00432,M0300,MER016,113.0,2023-03-15
T00433,M0290,MER015,5.58,2023-07-11
T00434,M0077,MER002,61.3,2023-09-18
T00435,M0298,MER011,34.61,2023-12-22
T00436,M0137,MER001,101.98,2023-03-11
T00437,M0106,MER015,6.74,2023-03-31
T00438,M0095,MER019,56.64,2023-09-17
T00439,M0135,MER004,42.44,2023-05-06
T00440,M0068,MER011,32.7,2023-08-19
T00441,M0147,MER005,33.81,2023-10-22
T00442,M0490,MER003,64.0,2023-05-09
T00443,M0478,MER013,138.82,2023-10-07
T00444,M0159,MER010,4.78,2023-11-09
T00445,M0384,MER011,0.98,2023-04-10
T00446,M0163,MER018,81.92,2023-11-22
T00447,M0441,MER002,5.72,2023-10-24
T00448,M0341,MER007,215.99,2023-07-01
T00449,M0189,MER009,48.29,2023-06-23
T00450,M0415,MER010,52.62,2023-11-12
T00451,M0339,MER018,11.09,2023-12-30
T00452,M0095,MER007,13.74,2023-07-07
T00453,M0181,MER007,53.85,2023-02-26
T00454,M0288,MER003,120.25,2023-01-31
T00455,M0322,MER012,201.97,2023-03-25
T00456,M0187,MER007,11.03,2023-06-01
T00457,M0372,MER017,7.2,2023-02-05
T00458,M0138,MER001,2.9,2023-08-01
T00459,M0130,MER005,101.36,2023-12-30
T00460,M0194,MER016,17.46,2023-04-16
T00461,M0316,MER015,0.09,2023-12-08
T00462,M0472,MER002,12.67,2023-08-08
T00463,M0273,MER009,20.81,2023-06-12
T00464,M0352,MER007,235.45,2023-08-08
T00465,M0144,MER004,37.07,2023-09-27
T00466,M0016,MER020,11.45,2023-04-30
T00467,M0302,MER018,20.38,2023-12-02
T00468,M0423,MER004,20.05,2023-07-01
T00469,M0245,MER013,1.0,2023-04-16
T00470,M0415,MER001,7.26,2023-08-05
T00471,M0107,MER003,59.4,2023-07-24
T00472,M0088,MER016,6.41,2023-03-11
T00473,M0129,MER004,13.12,2023-02-13
T00474,M0395,MER016,21.6,2023-11-25
T00475,M0375,MER019,70.89,2023-10-28
T00476,M0341,MER001,43.66,2023-08-16
T00477,M0004,MER005,58.4,2023-07-03
T00478,M0327,MER019,41.85,2023-04-17
T00479,M0410,MER011,57.54,2023-03-25
T00480,M0367,MER013,0.14,2023-12-04
T00481,M0306,MER020,133.61,2023-09-07
T00482,M0396,MER005,5.88,2023-12-29
T00483,M0095,MER004,26.06,2023-01-21
T00484,M0209,MER004,73.71,2023-07-15
T00485,M0225,MER004,28.57,2023-06-27
T00486,M0459,MER004,146.72,2023-01-07
T00487,M0348,MER020,31.52,2023-03-11
T00488,M0480,MER018,103.95,2023-05-07
T00489,M0321,MER018,83.25,2023-06-09
T00490,M0047,MER016,198.13,2023-09-05
T00491,M0476,MER009,130.56,2023-07-22
T00492,M0181,MER018,114.2,2023-05-28
T00493,M0106,MER002,65.76,2023-05-23
T00494,M0199,MER004,22.86,2023-07-18
T00495,M0386,MER012,5.61,2023-06-03
T00496,M0106,MER007,58.34,2023-05-22
T00497,M0280,MER015,192.34,2023-11-09
T00498,M0260,MER007,64.84,2023-06-14
T00499,M0108,MER017,132.06,2023-11-10
T00500,M0019,MER016,81.56,2023-01-21
T00501,M0410,MER019,8.9,2023-03-23
T00502,M0459,MER009,14.33,2023-03-10
T00503,M0296,MER014,20.92,2023-05-11
T00504,M0306,MER017,9.21,2023-03-28
T00505,M0171,MER005,43.57,2023-08-06
T00506,M0331,MER002,185.35,2023-11-01
T00507,M0493,MER020,71.66,2023-12-11
T00508,M0195,MER016,27.53,2023-12-07
T00509,M0012,MER014,0.23,2023-06-10
T00510,M0195,MER014,18.79,2023-06-27
T00511,M0490,MER001,37.41,2023-04-27
T00512,M0283,MER003,19.6,2023-07-15
T00513,M0369,MER007,5.88,2023-11-23
T00514,M0182,MER015,29.24,2023-03-27
T00515,M0450,MER019,14.6,2023-10-16
T00516,M0305,MER020,119.97,2023-03-22
T00517,M0144,MER002,5.37,2023-06-01
T00518,M0386,MER019,2.52,2023-03-02
T00519,M0316,MER009,0.27,2023-03-02
T00520,M0182,MER019,19.88,2023-12-20
T00521,M0030,MER005,54.0,2023-01-28
T00522,M0084,MER018,65.54,2023-02-12
T00523,M0166,MER016,30.19,2023-06-18
T00524,M0284,MER004,57.65,2023-03-27
T00525,M0281,MER012,22.31,2023-06-26
T00526,M0096,MER007,55.1,2023-01-17
T00527,M0381,MER014,2.07,2023-04-08
T00528,M0266,MER012,24.78,2023-07-17
T00529,M0444,MER003,78.24,2023-04-08
T00530,M0298,MER005,81.23,2023-03-06
T00531,M0296,MER017,62.97,2023-11-26
T00532,M0225,MER010,11.42,2023-12-07
T00533,M0333,MER010,14.2,2023-01-05
T00534,M0361,MER011,277.19,2023-01-02
T00535,M0374,MER017,5.46,2023-01-22
T00536,M0042,MER005,9.96,2023-04-22
T00537,M0303,MER013,6.96,2023-02-26
T00538,M0421,MER010,19.85,2023-03-07
T00539,M0246,MER009,11.8,2023-11-26
T00540,M0208,MER017,34.43,2023-04-08
T00541,M0237,MER001,32.32,2023-05-24
T00542,M0022,MER004,115.89,2023-05-05
T00543,M0185,MER004,1.77,2023-06-16
T00544,M0468,MER018,19.27,2023-03-27
T00545,M0242,MER009,45.4,2023-03-17
T00546,M0363,MER018,46.42,2023-12-10
T00547,M0283,MER014,32.71,2023-10-21
T00548,M0041,MER015,84.55,2023-02-28
T00549,M0336,MER006,3.24,2023-05-18
T00550,M0162,MER010,84.5,2023-04-09
T00551,M0160,MER015,34.14,2023-07-11
T00552,M0474,MER004,7.18,2023-08-31
T00553,M0089,MER018,108.45,2023-11-15
T00554,M0322,MER018,52.38,2023-02-18
T00555,M0012,MER017,8.93,2023-02-01
T00556,M0424,MER012,1.71,2023-10-04
T00557,M0073,MER007,7.61,2023-01-20
T00558,M0076,MER016,46.93,2023-06-03
T00559,M0346,MER011,9.88,2023-03-09
T00560,M0201,MER014,12.79,2023-08-02
T00561,M0010,MER003,1.27,2023-05-23
T00562,M0352,MER019,64.17,2023-08-20
T00563,M0226,MER018,83.13,2023-08-01
T00564,M0176,MER010,79.69,2023-03-20
T00565,M0276,MER006,6.82,2023-08-02
T00566,M0039,MER013,116.81,2023-04-26
T00567,M0060,MER010,55.78,2023-04-02
T00568,M0066,MER018,113.91,2023-09-27
T00569,M0321,MER020,29.63,2023-06-17
T00570,M0435,MER016,28.72,2023-02-27
T00571,M0124,MER006,76.75,2023-10-11
T00572,M0164,MER013,4.9,2023-01-26
T00573,M0408,MER004,36.79,2023-03-07
T00574,M0411,MER014,90.51,2023-09-05
T00575,M0386,MER001,88.65,2023-09-11
T00576,M0159,MER020,156.33,2023-02-13
T00577,M0057,MER005,59.91,2023-04-07
T00578,M0078,MER008,11.65,2023-02-11
T00579,M0194,MER012,1.02,2023-08-15
T00580,M0285,MER002,32.64,2023-09-19
T00581,M0015,MER012,36.05,2023-06-16
T00582,M0012,MER005,13.74,2023-10-06
T00583,M0101,MER005,6.66,2023-03-30
T00584,M0156,MER013,44.12,2023-06-27
T00585,M0340,MER009,72.25,2023-07-16
T00586,M0125,MER010,249.21,2023-11-03
T00587,M0359,MER001,71.0,2023-09-24
T00588,M0280,MER003,78.9,2023-09-25
T00589,M0405,MER018,47.92,2023-03-15
T00590,M0394,MER012,213.16,2023-01-08
T00591,M0110,MER003,51.08,2023-10-24
T00592,M0334,MER009,98.4,2023-06-13
T00593,M0357,MER002,145.74,2023-03-26
T00594,M0146,MER003,132.86,2023-03-13
T00595,M0216,MER014,24.02,2023-02-24
T00596,M0398,MER004,4.1,2023-02-16
T00597,M0162,MER019,9.43,2023-08-26
T00598,M0128,MER013,3.05,2023-04-14
T00599,M0314,MER007,5.57,2023-07-29
T00600,M0332,MER012,10.21,2023-02-11
T00601,M0150,MER003,20.86,2023-11-12
T00602,M0454,MER009,39.21,2023-09-25
T00603,M0036,MER002,62.18,2023-09-20
T00604,M0173,MER009,11.84,2023-12-02
T00605,M0420,MER012,55.82,2023-12-31
T00606,M0022,MER012,60.91,2023-09-16
